Province/State,Country,Confirmed,Deaths,Recovered,ObservationDate
Anhui,Mainland China,1,0,0,22-01-2020
Anhui,Mainland China,9,0,0,23-01-2020
Anhui,Mainland China,15,0,0,24-01-2020
Anhui,Mainland China,39,0,0,25-01-2020
Anhui,Mainland China,60,0,0,26-01-2020
Anhui,Mainland China,70,0,0,27-01-2020
Anhui,Mainland China,106,0,0,28-01-2020
Anhui,Mainland China,152,0,2,29-01-2020
Anhui,Mainland China,200,0,2,30-01-2020
Anhui,Mainland China,237,0,3,31-01-2020
Anhui,Mainland China,297,0,5,01-02-2020
Anhui,Mainland China,340,0,7,02-02-2020
Anhui,Mainland China,408,0,14,03-02-2020
Anhui,Mainland China,480,0,20,04-02-2020
Anhui,Mainland China,530,0,23,05-02-2020
Anhui,Mainland China,591,0,34,06-02-2020
Anhui,Mainland China,665,0,47,07-02-2020
Anhui,Mainland China,733,0,59,08-02-2020
Anhui,Mainland China,779,1,72,09-02-2020
Anhui,Mainland China,830,3,88,10-02-2020
Anhui,Mainland China,860,4,105,11-02-2020
Anhui,Mainland China,889,4,127,12-02-2020
Anhui,Mainland China,910,5,157,13-02-2020
Anhui,Mainland China,934,6,193,14-02-2020
Anhui,Mainland China,950,6,221,15-02-2020
Anhui,Mainland China,962,6,255,16-02-2020
Anhui,Mainland China,973,6,280,17-02-2020
Anhui,Mainland China,982,6,361,18-02-2020
Anhui,Mainland China,986,6,413,19-02-2020
Anhui,Mainland China,987,6,474,20-02-2020
Anhui,Mainland China,988,6,539,21-02-2020
Anhui,Mainland China,989,6,597,22-02-2020
Anhui,Mainland China,989,6,637,23-02-2020
Anhui,Mainland China,989,6,663,24-02-2020
Anhui,Mainland China,989,6,712,25-02-2020
Anhui,Mainland China,989,6,744,26-02-2020
Anhui,Mainland China,989,6,792,27-02-2020
Anhui,Mainland China,990,6,821,28-02-2020
Anhui,Mainland China,990,6,868,29-02-2020
Anhui,Mainland China,990,6,873,01-03-2020
Anhui,Mainland China,990,6,917,02-03-2020
Anhui,Mainland China,990,6,936,03-03-2020
Anhui,Mainland China,990,6,956,04-03-2020
Anhui,Mainland China,990,6,970,05-03-2020
Anhui,Mainland China,990,6,979,06-03-2020
Anhui,Mainland China,990,6,979,07-03-2020
Anhui,Mainland China,990,6,984,08-03-2020
Anhui,Mainland China,990,6,984,09-03-2020
Anhui,Mainland China,990,6,984,10-03-2020
Anhui,Mainland China,990,6,984,11-03-2020
Anhui,Mainland China,990,6,984,12-03-2020
Anhui,Mainland China,990,6,984,13-03-2020
Anhui,Mainland China,990,6,984,14-03-2020
Anhui,Mainland China,990,6,984,15-03-2020
Beijing,Mainland China,14,0,0,22-01-2020
Beijing,Mainland China,22,0,0,23-01-2020
Beijing,Mainland China,36,0,1,24-01-2020
Beijing,Mainland China,41,0,2,25-01-2020
Beijing,Mainland China,68,0,2,26-01-2020
Beijing,Mainland China,80,1,2,27-01-2020
Beijing,Mainland China,91,1,4,28-01-2020
Beijing,Mainland China,111,1,4,29-01-2020
Beijing,Mainland China,114,1,4,30-01-2020
Beijing,Mainland China,139,1,5,31-01-2020
Beijing,Mainland China,168,1,9,01-02-2020
Beijing,Mainland China,191,1,9,02-02-2020
Beijing,Mainland China,212,1,12,03-02-2020
Beijing,Mainland China,228,1,23,04-02-2020
Beijing,Mainland China,253,1,24,05-02-2020
Beijing,Mainland China,274,1,31,06-02-2020
Beijing,Mainland China,297,1,33,07-02-2020
Beijing,Mainland China,315,2,34,08-02-2020
Beijing,Mainland China,326,2,37,09-02-2020
Beijing,Mainland China,337,2,44,10-02-2020
Beijing,Mainland China,342,3,48,11-02-2020
Beijing,Mainland China,352,3,56,12-02-2020
Beijing,Mainland China,366,3,69,13-02-2020
Beijing,Mainland China,372,3,80,14-02-2020
Beijing,Mainland China,375,4,98,15-02-2020
Beijing,Mainland China,380,4,108,16-02-2020
Beijing,Mainland China,381,4,114,17-02-2020
Beijing,Mainland China,387,4,122,18-02-2020
Beijing,Mainland China,393,4,145,19-02-2020
Beijing,Mainland China,395,4,153,20-02-2020
Beijing,Mainland China,396,4,169,21-02-2020
Beijing,Mainland China,399,4,178,22-02-2020
Beijing,Mainland China,399,4,189,23-02-2020
Beijing,Mainland China,399,4,198,24-02-2020
Beijing,Mainland China,400,4,215,25-02-2020
Beijing,Mainland China,400,4,235,26-02-2020
Beijing,Mainland China,410,5,248,27-02-2020
Beijing,Mainland China,410,7,257,28-02-2020
Beijing,Mainland China,411,8,271,29-02-2020
Beijing,Mainland China,413,8,276,01-03-2020
Beijing,Mainland China,414,8,282,02-03-2020
Beijing,Mainland China,414,8,288,03-03-2020
Beijing,Mainland China,418,8,297,04-03-2020
Beijing,Mainland China,418,8,297,05-03-2020
Beijing,Mainland China,422,8,299,06-03-2020
Beijing,Mainland China,426,8,303,07-03-2020
Beijing,Mainland China,428,8,308,08-03-2020
Beijing,Mainland China,428,8,315,09-03-2020
Beijing,Mainland China,429,8,320,10-03-2020
Beijing,Mainland China,435,8,326,11-03-2020
Beijing,Mainland China,435,8,334,12-03-2020
Beijing,Mainland China,436,8,342,13-03-2020
Beijing,Mainland China,437,8,349,14-03-2020
Beijing,Mainland China,442,8,353,15-03-2020
Chongqing,Mainland China,6,0,0,22-01-2020
Chongqing,Mainland China,9,0,0,23-01-2020
Chongqing,Mainland China,27,0,0,24-01-2020
Chongqing,Mainland China,57,0,0,25-01-2020
Chongqing,Mainland China,75,0,0,26-01-2020
Chongqing,Mainland China,110,0,0,27-01-2020
Chongqing,Mainland China,132,0,0,28-01-2020
Chongqing,Mainland China,147,0,1,29-01-2020
Chongqing,Mainland China,182,0,1,30-01-2020
Chongqing,Mainland China,211,0,1,31-01-2020
Chongqing,Mainland China,247,1,3,01-02-2020
Chongqing,Mainland China,300,2,7,02-02-2020
Chongqing,Mainland China,337,2,9,03-02-2020
Chongqing,Mainland China,366,2,9,04-02-2020
Chongqing,Mainland China,389,2,15,05-02-2020
Chongqing,Mainland China,411,2,24,06-02-2020
Chongqing,Mainland China,426,2,31,07-02-2020
Chongqing,Mainland China,428,2,39,08-02-2020
Chongqing,Mainland China,468,2,51,09-02-2020
Chongqing,Mainland China,486,2,66,10-02-2020
Chongqing,Mainland China,505,3,79,11-02-2020
Chongqing,Mainland China,518,3,102,12-02-2020
Chongqing,Mainland China,529,4,128,13-02-2020
Chongqing,Mainland China,537,5,152,14-02-2020
Chongqing,Mainland China,544,5,184,15-02-2020
Chongqing,Mainland China,551,5,207,16-02-2020
Chongqing,Mainland China,553,5,225,17-02-2020
Chongqing,Mainland China,555,5,254,18-02-2020
Chongqing,Mainland China,560,5,274,19-02-2020
Chongqing,Mainland China,567,6,299,20-02-2020
Chongqing,Mainland China,572,6,316,21-02-2020
Chongqing,Mainland China,573,6,328,22-02-2020
Chongqing,Mainland China,575,6,335,23-02-2020
